"Reporting starts","Reporting ends","Ad name","Date created","Attribution setting","Amount spent (USD)","Cost per results","Result indicator",Purchases,"Purchase ROAS (return on ad spend)","CPM (cost per 1,000 impressions) (USD)","CPC (cost per link click) (USD)","Unique CTR (link click-through rate)",Reach,Impressions,Hook,Hold
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",12.49,,,,,2.994486,0.356857,0.8863,3949,4171,0.27883002,0.0369216
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",0.6,,,,,2.469136,0.3,0.865801,231,243,0.1399177,0.01234568
2019-12-30,2023-01-30,"Travis scott",2020-03-21,"28-day click or 1-day view",1.52,,,,,4.03183,1.52,0.27933,358,377,0.14323607,0.01061008
2019-12-30,2023-01-30,"after hours",2020-03-21,"28-day click or 1-day view",5.34,,,,,2.674011,0.33375,0.832033,1923,1997,0.27991988,0.02804206
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",1.06,,,,,2.566586,0.53,0.4914,407,413,0.16949153,0.02421308
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.9,,,,,2.564103,0.45,0.581395,344,351,0.18518519,0.01709402
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.48,,,,,1.764706,,0,263,272,0.19852941,0.02573529
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.65,,,,,2.288732,,0,271,284,0.17957746,0.03521127
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.75,,,,,2.380952,0.25,0.983607,305,315,0.17460317,0.02857143
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.8,,,,,2.046036,0.4,0.531915,376,391,0.12531969,0.01534527
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.64,,,,,1.987578,0.32,0.651466,307,322,0.15838509,0.01552795
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.48,,,,,1.825095,0.24,0.77821,257,263,0.17110266,0.01901141
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.7,,,,,2.439024,0.35,0.716846,279,287,0.15679443,0.03484321
2019-12-30,2023-01-30,"lil uzi",2020-03-21,"28-day click or 1-day view",0.83,,,,,2.748344,0.415,0.689655,290,302,0.10927152,0.00662252
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.17,,,,,2.537313,,0,67,67,0.11940299,0.04477612
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.09,,,,,1.5,0.09,1.666667,60,60,0.08333333,0.06666667
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.06,,,,,1.935484,,0,31,31,0.12903226,
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",13.36,,,,,2.784494,0.167,1.656184,4770,4798,0.0939975,0.03105461
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.25,,,,,2.55102,,0,98,98,0.09183673,0.01020408
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.12,,,,,2.264151,,0,53,53,0.05660377,
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",18.28,,,,,2.710558,0.18099,1.49925,6670,6744,0.09356465,0.03173191
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",34.54,17.27,actions:offsite_conversion.fb_pixel_purchase,2,3.472496,3.293916,0.22,1.508996,10338,10486,0.0922182,0.02870494
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.16,,,,,2.133333,,0,75,75,0.01333333,
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.14,,,,,3.111111,,0,45,45,,
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.22,,,,,2.55814,,0,86,86,0.06976744,0.01162791
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.31,,,,,3.483146,,0,88,89,0.06741573,0.01123596
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.06,,,,,1.578947,,0,38,38,0.05263158,0.02631579
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",34.7,34.7,actions:offsite_conversion.fb_pixel_purchase,1,1.728242,3.072428,0.199425,1.551848,11148,11294,0.09509474,0.03532849
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.13,,,,,2.363636,,0,55,55,0.01818182,
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.17,,,,,2.073171,,0,82,82,0.03658537,0.01219512
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.17,,,,,1.827957,0.056667,3.225806,93,93,0.04301075,0.01075269
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",18.21,,,,,3.010913,0.187732,1.624246,5972,6048,0.1020172,0.03769841
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",13.59,,,,,2.482645,0.143053,1.757957,5404,5474,0.10230179,0.03964194
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.14,,,,,2.028986,,0,69,69,0.04347826,
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",13.44,,,,,2.898426,0.18411,1.587302,4599,4637,0.09553591,0.0338581
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",34.67,17.335,actions:offsite_conversion.fb_pixel_purchase,2,3.459475,3.117245,0.203941,1.601831,10488,11122,0.09728466,0.03146916
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",34.65,17.325,actions:offsite_conversion.fb_pixel_purchase,2,3.461472,3.127821,0.235714,1.383139,10628,11078,0.09072035,0.03033038
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",34.62,8.655,actions:offsite_conversion.fb_pixel_purchase,4,9.355286,3.080893,0.22051,1.424918,10948,11237,0.09041559,0.0300792
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.02,,,,,1.25,,0,16,16,0.125,
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",34.71,17.355,actions:offsite_conversion.fb_pixel_purchase,2,3.312014,2.939533,0.221083,1.345756,11592,11808,0.08849932,0.02845528
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",18.19,18.19,actions:offsite_conversion.fb_pixel_purchase,1,3.296866,2.766119,0.219157,1.269501,6538,6576,0.09382603,0.03010949
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",13.5,,,,,2.666403,0.225,1.192369,5032,5063,0.09184278,0.03377444
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",34.65,34.65,actions:offsite_conversion.fb_pixel_purchase,1,1.730736,3.280629,0.21,1.585624,10406,10562,0.09363757,0.03417913
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",13.54,,,,,2.629126,0.182973,1.417476,5150,5150,0.09708738,0.03592233
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",18.42,,,,,2.704846,0.167455,1.604829,6792,6810,0.0928047,0.02936858
2019-12-30,2023-01-30,"after hours",2020-03-22,"28-day click or 1-day view",18.2,,,,,2.857143,0.170093,1.680276,6368,6370,0.09638932,0.03453689
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.16,,,,,2,0.08,2.5,80,80,0.075,0.05
2019-12-30,2023-01-30,"Travis scott",2020-03-22,"28-day click or 1-day view",0.11,,,,,2.444444,,0,45,45,0.06666667,0.02222222
